Symbol / Rank,Theme,2022-12-03 00:00:00,2022-12-10 00:00:00,2022-12-17 00:00:00,2023-01-01 00:00:00,2023-01-12 00:00:00,2023-01-31 00:00:00,2023-02-14 00:00:00,2023-02-28 00:00:00,2023-03-13 00:00:00,2023-03-31 00:00:00,2023-04-14 00:00:00,2023-04-30 00:00:00,2023-05-16 00:00:00,2023-05-31 00:00:00,2023-06-14 00:00:00,2023-06-30 00:00:00,2023-07-13 00:00:00,14Jul23_PUp,2023-07-29 00:00:00,2023-08-13 00:00:00,2023-08-31 00:00:00,2023-09-13 00:00:00,2023-09-29 00:00:00,2023-10-13 00:00:00,2023-10-31 00:00:00,2023-11-12 00:00:00,2023-11-30 00:00:00,2023-12-14 00:00:00,2023-12-31 00:00:00,2024-01-13 00:00:00,2024-01-31 00:00:00,2024-02-13 00:00:00,2024-02-29 00:00:00,2024-03-29 00:00:00,2024-04-30 00:00:00,2024-05-31 00:00:00,2024-06-28 00:00:00,2024-07-31 00:00:00,2024-08-31 00:00:00,2024-09-29 00:00:00,2024-10-31 00:00:00,2024-11-30 00:00:00,2024-12-31 00:00:00,2025-02-01 00:00:00,2025-02-28 00:00:00,2025-03-31 00:00:00,2025-04-30 00:00:00,2025-05-31 00:00:00,2025-06-30 00:00:00,2025-07-31 00:00:00,2025-08-31 00:00:00,2025-09-30 00:00:00,2025-10-31 00:00:00,2025-11-30 00:00:00,2025-12-31 00:00:00,2026-01-31 00:00:00,note
LGBBROSLTD,auto parts & equipment · group 2,,,,,,,,,,,,19.0,,34.0,,10.0,,,38.0,38.0,38.0,40.0,48.0,48.0,46.0,47.0,29.0,26.0,47.0,47.0,44.0,45.0,50.0,28.0,44.0,41.0,41.0,52.0,43.0,,70.0,67.0,71.0,35.0,39.0,57.0,55.0,46.0,49.0,64.0,53.0,26.0,38.0,2.0,11.0,13.0,
MSUMI,auto parts & equipment · group 2,,,,,,,,,,,,52.0,,50.0,,62.0,,,62.0,63.0,58.0,56.0,47.0,46.0,57.0,55.0,57.0,56.0,58.0,59.0,43.0,40.0,36.0,46.0,50.0,44.0,38.0,55.0,64.0,,86.0,80.0,89.0,81.0,80.0,73.0,59.0,69.0,58.0,69.0,33.0,21.0,20.0,22.0,11.0,21.0,
PRICOLLTD,auto parts & equipment · group 2,,,,,,,,,,,,8.0,,22.0,,38.0,,,16.0,15.0,8.0,6.0,10.0,14.0,13.0,14.0,25.0,29.0,12.0,12.0,19.0,20.0,24.0,28.0,26.0,18.0,15.0,17.0,27.0,,45.0,39.0,26.0,23.0,41.0,30.0,43.0,57.0,68.0,76.0,50.0,21.0,26.0,11.0,9.0,21.0,
MINDACORP,auto parts & equipment · group 2,,,,,,,,,,,,13.0,,9.0,,20.0,,,11.0,12.0,6.0,7.0,11.0,13.0,27.0,28.0,15.0,14.0,12.0,15.0,12.0,11.0,16.0,16.0,45.0,29.0,21.0,33.0,32.0,,43.0,52.0,49.0,16.0,26.0,23.0,31.0,30.0,50.0,70.0,66.0,38.0,36.0,24.0,23.0,25.0,
VARROC,auto parts & equipment · group 2,,,,,,,,,,,,73.0,,64.0,,63.0,,,65.0,65.0,26.0,22.0,16.0,16.0,19.0,21.0,20.0,16.0,14.0,16.0,17.0,19.0,50.0,45.0,49.0,39.0,34.0,44.0,61.0,,76.0,85.0,59.0,58.0,70.0,76.0,70.0,46.0,52.0,50.0,31.0,18.0,16.0,9.0,29.0,25.0,
WHEELS,auto parts & equipment · group 2,,,,,,,,,,,,73.0,,57.0,,21.0,,,41.0,39.0,49.0,52.0,17.0,16.0,38.0,45.0,63.0,70.0,77.0,78.0,80.0,80.0,77.0,79.0,85.0,67.0,55.0,55.0,52.0,,,,77.0,52.0,65.0,68.0,29.0,37.0,26.0,39.0,30.0,7.0,14.0,20.0,20.0,30.0,
CIEINDIA,auto parts & equipment · group 2,,,,,,,,,,,,,,,,2.0,,,23.0,24.0,22.0,29.0,32.0,27.0,37.0,42.0,49.0,51.0,66.0,66.0,68.0,68.0,79.0,61.0,64.0,43.0,42.0,47.0,42.0,,76.0,81.0,79.0,64.0,75.0,75.0,71.0,68.0,76.0,89.0,89.0,74.0,58.0,61.0,47.0,39.0,
JTEKTINDIA,auto parts & equipment · group 2,,,,,,,,,,,,58.0,,62.0,,61.0,,,50.0,48.0,59.0,58.0,49.0,46.0,52.0,54.0,76.0,76.0,64.0,61.0,68.0,59.0,53.0,23.0,34.0,35.0,19.0,36.0,65.0,,69.0,62.0,81.0,72.0,79.0,77.0,62.0,84.0,82.0,89.0,51.0,24.0,45.0,32.0,44.0,41.0,
SSWL,auto parts & equipment · group 2,,,,,,,,,,,,,,,,,,,,25.0,31.0,32.0,23.0,25.0,39.0,40.0,39.0,36.0,60.0,60.0,51.0,39.0,52.0,69.0,74.0,72.0,84.0,84.0,83.0,,95.0,92.0,90.0,73.0,64.0,65.0,36.0,22.0,8.0,32.0,38.0,32.0,49.0,71.0,67.0,42.0,
Auto Parts & Equipment · Group 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRAFTSMAN,auto parts & equipment · group 3,,,,,,,,,,,,89.0,,8.0,,13.0,,,13.0,13.0,6.0,5.0,12.0,19.0,7.0,6.0,16.0,16.0,12.0,18.0,67.0,67.0,76.0,63.0,67.0,70.0,41.0,45.0,38.0,,70.0,63.0,59.0,69.0,40.0,47.0,46.0,22.0,38.0,9.0,10.0,12.0,13.0,8.0,5.0,8.0,
