theme_id,theme_name,symbol,role,outlier_score,corr_with_theme_moves,med_abs_resid,rank_volatility,median_rank_norm,obs_months
IND::Footwear,Footwear - Cluster r,CAMPUS,Core,-0.4935,0.7068,0.1196,0.2088,0.6952,50
IND::Footwear,Footwear - Cluster r,METROBRAND,Core,0.4368,0.5405,0.1958,0.1815,0.4604,50
IND::Footwear,Footwear - Cluster r,REDTAPE,B,1.6713,0.1598,0.1797,0.3278,0.6628,32
IND::Packaged Foods,Packaged Foods - Cluster s,TATACONSUM,A,-0.7911,0.4259,0.0638,0.1827,0.4278,50
IND::Packaged Foods,Packaged Foods - Cluster s,NESTLEIND,A,-0.2536,0.4506,0.1154,0.2088,0.4122,50
IND::Packaged Foods,Packaged Foods - Cluster s,ZYDUSWELL,A,-0.2044,0.3728,0.0926,0.2082,0.521,50
IND::Packaged Foods,Packaged Foods - Cluster s,BRITANNIA,Core,-0.1189,0.3664,0.1121,0.1938,0.4484,50
IND::Packaged Foods,Packaged Foods - Cluster s,BIKAJI,Core,-0.0074,0.3217,0.1286,0.1693,0.3577,50
IND::Packaged Foods,Packaged Foods - Cluster s,HATSUN,Core,0.1905,0.4494,0.2036,0.1646,0.6695,50
IND::Packaged Foods,Packaged Foods - Cluster s,DODLA,B,0.7633,0.0711,0.1499,0.1401,0.3499,50
IND::Packaged Foods,Packaged Foods - Cluster s,BECTORFOOD,B,1.5159,0.4384,0.255,0.289,0.327,50
IND::Packaged Foods,Packaged Foods - Cluster s,HERITGFOOD,B,1.5739,0.3087,0.2336,0.2641,0.5072,50
IND::Other Industrial Products,Other Industrial Products - Cluster s,BHARATFORG,A,-0.7894,0.6789,0.1234,0.2407,0.3305,50
IND::Other Industrial Products,Other Industrial Products - Cluster s,TIMKEN,A,-0.6324,0.5034,0.1562,0.1799,0.6532,50
IND::Other Industrial Products,Other Industrial Products - Cluster s,KENNAMET,A,-0.5452,0.4362,0.1384,0.1904,0.7467,48
IND::Other Industrial Products,Other Industrial Products - Cluster s,HAPPYFORGE,Core,-0.5443,0.3309,0.0801,0.2169,0.4989,30
