theme_id,theme_label,theme_family,primary_size,total_size,secondary_additions,cohesion_primary,cohesion_with_secondary,dominant_sector,dominant_industry,sample_symbols
IND::Consumer Electronics,Consumer Electronics,Consumer Electronics,12,15,3,0.0977,0.1259,Consumer Cyclical,Consumer Electronics,"AMBER, BALKRISIND, BLUESTARCO, CDSL, DIXON, EMIL, GOKEX, MAHSCOOTER"
IND::Defence,Defence,Defence,8,15,7,0.3124,0.2614,Industrials,Defence,"ABB, ASTRAMICRO, BBL, BDL, BEL, CONCOR, DATAPATTNS, GRSE"
IND::Furniture-Furnishing-Paints,Furniture-furnishing-paints,Furniture-furnishing-paints,11,15,4,0.0473,0.0465,Basic Materials,Furniture-Furnishing-Paints,"AGI, AKZOINDIA, ASIANPAINT, BERGEPAINT, BIRLACORPN, CERA, GREENLAM, INDIGOPNTS"
IND::Housing Finance,Housing Finance,Housing Finance,10,15,5,0.1719,0.1962,Financial Services,Housing Finance,"AAVAS, APTUS, AXISBANK, BANKBARODA, CANFINHOME, FIVESTAR, HOMEFIRST, HUDCO"
IND::Internet Software & Services,Internet Software & Services,Internet Software & Services,15,15,0,0.0315,0.0315,Communication Services,Internet Software & Services,"AADHARHFC, AFFLE, INDIAMART, INDUSTOWER, JUSTDIAL, MAPMYINDIA, MPSLTD, NAUKRI"
IND::Cement & Cement Products,Cement & Cement Products,Cement & Cement Products,13,14,1,0.1137,0.1094,Basic Materials,Cement & Cement Products,"ACC, AMBUJACEM, BIRLACORPN, DALBHARAT, FLUOROCHEM, GRASIM, INDIACEM, JKCEMENT"
UNCLASSIFIED::B::A::B::NoRank::1,Cross-sector (no Rank) · Group 1,Cross-sector (no Rank),14,14,0,,,,,"AEQUS, BHARATCOAL, CAPILLARY, CRAMC, EUROPRATIK, JAINREC, LENSKART, MBEL"
UNCLASSIFIED::B::A::B::NoRank::2,Cross-sector (no Rank) · Group 2,Cross-sector (no Rank),14,14,0,,,,,"AMAGI, BUILDPRO, CORONA, EMMVEE, GROWW, JSWCEMENT, LGEINDIA, MEESHO"
UNCLASSIFIED::B::A::B::NoRank::3,Cross-sector (no Rank) · Group 3,Cross-sector (no Rank),14,14,0,,,,,"ATLANTAELE, CANHLIFE, CPPLUS, EPACKPEB, ICICIAMC, KSHINTL, LOTUSDEV, MIDWESTLTD"
UNCLASSIFIED::A::A,Cross-sector · Group 2,Cross-sector,13,14,1,0.3183,0.3386,,,"AFCONS, AGARWALEYE, AIIL, ASHAPURMIN, CEMPRO, GALLANTT, IKS, KRN"
IND::IT Consulting & Software::B::B::A::B,IT Consulting & Software · Group 1,IT Consulting & Software,10,14,4,0.2838,0.3322,Technology,IT Consulting & Software,"ANGELONE, CIGNITITEC, COFORGE, HCLTECH, INFY, LTIM, LTTS, MASTEK"
IND::IT Consulting & Software::B::B::A::A,IT Consulting & Software · Group 2,IT Consulting & Software,9,14,5,0.3311,0.3285,Technology,IT Consulting & Software,"BSOFT, CYIENT, CYIENTDLM, HCLTECH, INFY, KPITTECH, LTIM, LTTS"
IND::Other Apparels & Accessories,Other Apparels & Accessories,Other Apparels & Accessories,7,14,7,0.0931,0.1328,Consumer Cyclical,Other Apparels & Accessories,"ARVINDFASN, GOCOLORS, GREENLAM, ICIL, JUBLFOOD, KKCL, LGBBROSLTD, NITINSPIN"
IND::Other Financial Services,Other Financial Services,Other Financial Services,14,14,0,0.0789,0.0789,Financial Services,Other Financial Services,"360ONE, ANANDRATHI, BELRISE, CARERATING, CMSINFO, CRISIL, EDELWEISS, ICRA"
IND::Electric Utilities::A,Electric Utilities · Group 1,Electric Utilities,12,13,1,0.2644,0.274,Utilities,Electric Utilities,"ADANIENSOL, ADANIGREEN, ADANIPOWER, CESC, GAIL, JSWENERGY, NHPC, NLCINDIA"
IND::Heavy Electrical Equipment::B,Heavy Electrical Equipment · Group 2,Heavy Electrical Equipment,8,13,5,0.1405,0.1788,Industrials,Heavy Electrical Equipment,"AVALON, BANSALWIRE, BBL, GRAVITA, KEC, PITTIENG, PTCIL, SANSERA"
IND::Other Industrial Goods,Other Industrial Goods,Other Industrial Goods,9,13,4,0.11,0.1329,Industrials,Other Industrial Goods,"AIAENG, ESABINDIA, GRAPHITE, HEG, INOXINDIA, KPIL, RHIM, SBCL"
IND::Plastic Products,Plastic Products,Plastic Products,7,13,6,0.046,0.0981,Industrials,Plastic Products,"ASTRAL, FINPIPE, GRINDWELL, HGINFRA, HONAUT, IRB, NILKAMAL, PNCINFRA"
IND::Realty::B,Realty · Group 1,Realty,13,13,0,0.2753,0.2753,Real Estate,Realty,"ABREL, ANANTRAJ, BRIGADE, DLF, GODREJPROP, LODHA, MAXESTATES, OBEROIRLTY"
IND::Aluminium and Aluminium Products,Aluminium And Aluminium Products,Aluminium And Aluminium Products,5,12,7,0.4025,0.347,Basic Materials,Aluminium and Aluminium Products,"GRASIM, HINDALCO, HINDCOPPER, HINDZINC, JINDALSTEL, JSWSTEEL, NATIONALUM, NMDC"
IND::Auto Parts & Equipment::B::B::B,Auto Parts & Equipment · Group 3,Auto Parts & Equipment,9,12,3,0.2154,0.1755,Consumer Cyclical,Auto Parts & Equipment,"ARE&M, AUTOAXLES, CRAFTSMAN, DIVGIITTS, EXIDEIND, GABRIEL, JTEKTINDIA, MOTHERSON"
IND::Construction & Engineering,Construction & Engineering,Construction & Engineering,9,12,3,0.0795,0.0973,Industrials,Construction & Engineering,"AHLUCONT, FINPIPE, HGINFRA, KIRLOSENG, KNRCON, LT, NBCC, NCC"
UNCLASSIFIED::B::B::B::A,Cross-sector · Group 6,Cross-sector,9,12,3,0.2569,0.2276,,,"AJAXENGG, AKUMS, BBOX, BHARTIHEXA, COHANCE, EPACK, EUREKAFORB, HEXT"
IND::Healthcare Services,Healthcare Services,Healthcare Services,9,12,3,0.1765,0.1861,Healthcare,Healthcare Services,"AJANTPHARM, CIPLA, ETERNAL, KOVAI, KRSNAA, LALPATHLAB, MEDIASSIST, METROPOLIS"
IND::Pharmaceuticals::B::A::B::A,Pharmaceuticals · Group 3,Pharmaceuticals,10,12,2,0.1971,0.1912,Healthcare,Pharmaceuticals,"AARTIDRUGS, AARTIPHARM, BIOCON, BLUEJET, DIVISLAB, ERIS, FDC, HIKAL"
IND::Restaurants,Restaurants,Restaurants,5,12,7,0.3539,0.2504,Consumer Cyclical,Restaurants,"ASAHIINDIA, BALKRISIND, CAMPUS, DEVYANI, JUBLFOOD, METROBRAND, MHRIL, PAGEIND"
IND::Commercial Vehicles,Commercial Vehicles,Commercial Vehicles,5,11,6,0.1672,0.1775,Industrials,Commercial Vehicles,"ASHOKLEY, BEML, CGPOWER, ESCORTS, KEI, KSB, POLYCAB, TEGA"
IND::Commodity Chemicals,Commodity Chemicals,Commodity Chemicals,8,11,3,0.1481,0.1722,Basic Materials,Commodity Chemicals,"ACI, DEEPAKFERT, DEEPAKNTR, FINEORG, GHCL, INDIAGLYCO, NAVINFLUOR, SRF"
UNCLASSIFIED::A::B,Cross-sector · Group 4,Cross-sector,9,11,2,0.2701,0.1894,,,"AWL, BAJAJHFL, GMRAIRPORT, MUTHOOTMF, NORTHARC, PATELENG, PFOCUS, SHARDAMOTR"
UNCLASSIFIED::B::B::A::A::B,Cross-sector · Group 5,Cross-sector,9,11,2,0.1737,0.1452,,,"BHARTIHEXA, EPACK, FOSECOIND, GMRAIRPORT, IIFLCAPS, INTERARCH, ITCHOTELS, KRBL"
UNCLASSIFIED::B::B::B::B,Cross-sector · Group 7,Cross-sector,9,11,2,0.1701,0.1977,,,"ACMESOLAR, AJAXENGG, ALIVUS, CEIGALL, HEXT, JSWHL, NIVABUPA, SHARDAMOTR"
UNCLASSIFIED::B::B::A::A::A,Cross-sector · Group 8,Cross-sector,8,11,3,0.0619,0.0131,,,"AEGISVOPAK, ATHERENERG, BBOX, CEMPRO, IGIL, IKS, LAXMIDENTL, OSWALPUMPS"
IND::Industrial Machinery::A,Industrial Machinery · Group 1,Industrial Machinery,10,11,1,0.0752,0.1023,Industrials,Industrial Machinery,"3MINDIA, DOMS, FLAIR, GMMPFAUDLR, GODREJIND, ISGEC, KIRLOSBROS, SHRIPISTON"
IND::Mining,Mining,Mining,4,11,7,0.2854,0.3298,Basic Materials,Mining,"DHANUKA, HINDALCO, HINDCOPPER, JINDALSTEL, LINDEINDIA, MOIL, NMDC, SAIL"
IND::Specialty Retail,Specialty Retail,Specialty Retail,8,11,3,-0.0129,0.0547,Consumer Cyclical,Specialty Retail,"ARVINDFASN, AVL, BHARTIARTL, ETHOSLTD, KPRMILL, LANDMARK, MANYAVAR, MAYURUNIQ"
