Symbol,Theme,source,confidence,sector_mode,industry_mode,debug_theme,locked,rank_move_corr,rank_resid,rank_obs,needs_review,review_reasons,review_priority
ORIENTELEC,Consumer Durables & Electronics,industry_mode,0.92,Consumer Cyclical,Consumer Electronics,,False,0.4985328289069009,0.105,50,False,,8.0
SYMPHONY,Consumer Durables & Electronics,industry_mode,0.92,Consumer Cyclical,Consumer Electronics,,False,0.4828127947988136,0.14,50,False,,8.0
WHIRLPOOL,Consumer Durables & Electronics,industry_mode,0.92,Consumer Cyclical,Consumer Electronics,,False,0.7485236645514275,0.0825,50,False,,8.0
EPL,Containers & Packaging,industry_mode,0.92,Consumer Cyclical,Containers & Packaging,,False,0.8545969380757942,0.0,50,False,,8.0
GRWRHITECH,Containers & Packaging,industry_mode,0.92,Basic Materials,Containers & Packaging,,False,0.1169225679317133,0.315,50,True,rank_residual_flag,14.0
MOLDTKPAC,Containers & Packaging,industry_mode,0.92,Consumer Cyclical,Containers & Packaging,,False,0.1947564144809788,0.19,50,False,,8.0
BLUESTARCO,Cooling & Air-Conditioning,theme_park_manual,0.94,Industrials,Consumer Electronics,AIRCON,False,0.8030254355241019,0.0675,50,False,,6.0
VOLTAS,Cooling & Air-Conditioning,theme_park_manual,0.94,Industrials,Consumer Electronics,AIRCON,False,0.8062577304528111,0.0675,50,False,,6.0
AEQUS,Cross-Sector (no Rank) - Group 1,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
BHARATCOAL,Cross-Sector (no Rank) - Group 1,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
CAPILLARY,Cross-Sector (no Rank) - Group 1,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
CRAMC,Cross-Sector (no Rank) - Group 1,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
EUROPRATIK,Cross-Sector (no Rank) - Group 1,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
JAINREC,Cross-Sector (no Rank) - Group 1,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
LENSKART,Cross-Sector (no Rank) - Group 1,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
MBEL,Cross-Sector (no Rank) - Group 1,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
NEPHROPLUS,Cross-Sector (no Rank) - Group 1,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
PINELABS,Cross-Sector (no Rank) - Group 1,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
SAATVIKGL,Cross-Sector (no Rank) - Group 1,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
STYL,Cross-Sector (no Rank) - Group 1,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
TENNIND,Cross-Sector (no Rank) - Group 1,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
URBANCO,Cross-Sector (no Rank) - Group 1,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
AMAGI,Cross-Sector (no Rank) - Group 2,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
BUILDPRO,Cross-Sector (no Rank) - Group 2,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
CORONA,Cross-Sector (no Rank) - Group 2,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
EMMVEE,Cross-Sector (no Rank) - Group 2,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
GROWW,Cross-Sector (no Rank) - Group 2,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
JSWCEMENT,Cross-Sector (no Rank) - Group 2,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
LGEINDIA,Cross-Sector (no Rank) - Group 2,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
MEESHO,Cross-Sector (no Rank) - Group 2,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
ORKLAINDIA,Cross-Sector (no Rank) - Group 2,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
PWL,Cross-Sector (no Rank) - Group 2,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
SKFINDUS,Cross-Sector (no Rank) - Group 2,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
SUDEEPPHRM,Cross-Sector (no Rank) - Group 2,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
TMCV,Cross-Sector (no Rank) - Group 2,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
WAKEFIT,Cross-Sector (no Rank) - Group 2,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
ATLANTAELE,Cross-Sector (no Rank) - Group 3,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
CANHLIFE,Cross-Sector (no Rank) - Group 3,legacy_fallback,0.45,,,,False,,,0,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0
