Symbol,sector_mode,sector_obs,sector_mode_share,industry_mode,industry_obs,industry_mode_share,industry_variants,debug_theme,has_sector,has_industry,has_debug
KEC,Industrials,27,1.0,Heavy Electrical Equipment,27,1.0,1,,True,True,False
KEI,Industrials,27,1.0,Other Electrical Equipment/Products,27,1.0,1,CABLES,True,True,True
KENNAMET,Industrials,25,1.0,Other Industrial Products,25,1.0,1,,True,True,False
KFINTECH,Technology,27,1.0,Other Financial Services,27,1.0,1,Exchanges,True,True,True
KIMS,Healthcare,27,1.0,Healthcare Facilities,27,1.0,1,Hospitals,True,True,True
KINGFA,,0,0.0,,0,0.0,0,,False,False,False
KIRLFER,Industrials,25,1.0,Iron & Steel/Interm.Products,25,1.0,1,,True,True,False
KIRLOSBROS,Industrials,27,1.0,Industrial Machinery,27,1.0,1,,True,True,False
KIRLOSENG,Industrials,27,1.0,Heavy Electrical Equipment,27,0.9259259259259259,2,,True,True,False
KIRLPNU,Industrials,27,1.0,Industrial Machinery,27,1.0,1,,True,True,False
KKCL,Consumer Cyclical,27,1.0,Other Apparels & Accessories,27,1.0,1,,True,True,False
KMEW,,0,0.0,,0,0.0,0,Dredging,False,False,True
KNRCON,Industrials,27,1.0,Construction & Engineering,27,1.0,1,,True,True,False
KOTAKBANK,Financial Services,27,1.0,Banks,27,1.0,1,Pvt Banks,True,True,True
KOVAI,Healthcare,25,1.0,Healthcare Services,25,1.0,1,,True,True,False
KPIL,Industrials,25,1.0,Electric Utilities,25,0.64,2,,True,True,False
KPITTECH,Technology,27,1.0,IT Consulting & Software,27,1.0,1,IT (mid),True,True,True
KPRMILL,Consumer Cyclical,27,1.0,Textiles,27,1.0,1,Textile,True,True,True
KRBL,,0,0.0,,0,0.0,0,,False,False,False
KRN,,0,0.0,,0,0.0,0,,False,False,False
KRSNAA,Healthcare,27,1.0,Healthcare Services,27,1.0,1,Diagnostics,True,True,True
KSB,Industrials,27,1.0,Industrial Machinery,27,1.0,1,,True,True,False
KSHINTL,,0,0.0,,0,0.0,0,,False,False,False
KSL,Basic Materials,27,1.0,Iron & Steel/Interm.Products,27,1.0,1,,True,True,False
KTKBANK,Financial Services,27,1.0,Banks,27,1.0,1,,True,True,False
LALPATHLAB,Healthcare,27,1.0,Healthcare Services,27,1.0,1,Diagnostics,True,True,True
LANDMARK,Consumer Cyclical,27,1.0,Specialty Retail,27,1.0,1,,True,True,False
LAOPALA,Consumer Cyclical,27,1.0,Houseware,27,1.0,1,,True,True,False
LAURUSLABS,Healthcare,27,1.0,Pharmaceuticals,27,1.0,1,Cdmo,True,True,True
LAXMIDENTL,,0,0.0,,0,0.0,0,,False,False,False
LEMONTREE,Consumer Cyclical,27,1.0,Hotels,27,1.0,1,HOTELS,True,True,True
LENSKART,,0,0.0,,0,0.0,0,,False,False,False
LGBBROSLTD,Consumer Cyclical,27,1.0,Auto Parts & Equipment,27,1.0,1,,True,True,False
LGEINDIA,,0,0.0,,0,0.0,0,,False,False,False
LICHSGFIN,Financial Services,27,1.0,Housing Finance,27,1.0,1,,True,True,False
LICI,Financial Services,27,1.0,Life Insurance,27,1.0,1,,True,True,False
LINDEINDIA,Basic Materials,27,1.0,Industrial Gases,27,1.0,1,,True,True,False
LODHA,Real Estate,27,1.0,Realty,27,1.0,1,,True,True,False
LOTUSDEV,,0,0.0,,0,0.0,0,,False,False,False
LT,Industrials,27,1.0,Construction & Engineering,27,1.0,1,,True,True,False
LTF,,0,0.0,,0,0.0,0,NBFC,False,False,True
LTFOODS,Consumer Defensive,16,1.0,Other Agricultural Products,16,0.625,2,Agri,True,True,True
LTIM,Technology,27,1.0,IT Consulting & Software,27,1.0,1,,True,True,False
