symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
DIAMONDYD,41,1061.75,1026.60249,52.69,21.63,-18.92,2536.7,59.53,30,15,79,123.90564
SUBROS,41,649.8,2686.94964,48.42,3.49,-0.76,4250.83,36.79,34,33,58,124.993419
TRIVENI,41,376.2,3217.89356,40.78,1.17,11.33,8246.78,60.98,44,36,45,125.002803
EPL,42,215.92,3343.42003,38.5,1.95,11.21,6886.55,51.45,47,35,45,127.407504
ESCORTS,42,3450.15,12324.8339,45.23,-6.71,17.17,38563.31,68.04,39,49,38,126.165127
GRPLTD,42,2795.2,903.160905,43.53,-22.23,118.04,1510.05,40.19,41,81,5,126.698132
HGINFRA,42,1288.35,2369.90149,42.29,-12.34,35.25,8397.95,71.78,42,60,24,126.268278
JBCHEPHARM,42,1778.95,12860.0914,54.85,-5.78,5.37,27751.6,53.66,27,47,52,125.857916
OFSS,42,8893.25,21134.6056,35.78,-9.25,35.48,77189.94,72.62,50,54,24,128.303009
PARAS,42,1056,1826.3242,45.45,-14.31,36.21,4252.21,57.05,38,64,24,126.837078
QUESS,42,614.95,3974.03609,37.41,-6.15,24.51,9150.44,56.57,49,47,31,126.844779
RVNL,42,433.55,24543.8374,50.82,-20.6,47.19,90367.59,72.84,32,78,17,127.277336
SATINDLTD,42,111.35,609.57872,40.92,16.95,-6.7,1259.2,51.59,44,18,65,126.843626
SIEMENS,42,5748.25,51126.655,40.63,-12.8,38.1,204506.62,75,45,61,23,128.155532
ABFRL,43,283.25,17349.4273,51.07,-11.18,14.01,32296.03,46.28,31,57,42,130.260582
BAJEL,43,241.39,1044.10702,43.31,-9.08,17.35,2791.73,62.6,41,53,38,132.048432
COSMOFIRST,43,744.95,1154.65548,46.39,-12.9,23.22,1956.38,40.98,37,61,32,130.042921
DATAMATICS,43,604.8,1206.46007,53.38,7,-12.7,3583.19,66.33,29,28,72,128.543795
HEIDELBERG,43,221.16,1534.66908,46.1,1.08,-0.71,5013.62,69.39,37,36,58,131.431445
KEC,43,826.65,10985.2804,28.13,-0.39,24.08,22014.59,50.1,60,38,31,129.408333
KPEL,43,414.75,1517.1686,28.7,9.4,11.74,2758.99,45.01,60,26,44,129.425345
NAVKARCORP,43,123.66,550.02006,47.43,-7.57,12.37,1861.32,70.45,35,51,43,129.360156
NAM-INDIA,43,582.15,10165.3182,39.39,-3.18,15.2,36870.94,72.43,46,42,41,129.112103
RAMCOIND,43,248.66,982.57568,42.79,6.56,-3.38,2173.84,54.8,42,28,61,130.646022
SCHNEIDER,43,668.95,4000.4075,41.32,-15.18,44.53,16001.63,75,44,67,19,129.519991
TCS,43,4073.15,416370.122,48.13,-2.35,2.69,1474920.73,71.77,35,41,54,129.489174
ANANDRATHI,44,3652.5,7954.01412,31.76,2.18,11.16,15293.24,47.99,55,35,45,134.765133
ASIANENE,44,314.65,550.041984,39.58,4.5,1.35,1409.28,60.97,46,31,55,132.674025
DIACABS,44,102.4,542.841,46,-33.84,298.75,5428.41,90,37,96,1,134.904982
FORCEMOT,44,6501.2,3288.81165,41.62,-21.32,65.95,8571.31,61.63,44,80,12,135.252278
GODREJIND,44,920.6,10617.0276,33.3,5.77,5.36,30980.53,65.73,53,30,52,134.748753
