symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
PARAS,17,1597.5,2977.89498,69.6,58.83,13.4,6437.3,53.74,26,3,34,62.77492094334329
SHARDACROP,17,811.3,1842.3702400000006,83.14,-0.12,81.7,7316.8,74.82,15,41,7,62.8212360447304
SINDHUTRAD,17,25.88,997.3081440000003,79.93,16.26,20.88,3982.86,74.96,17,17,27,62.011462210597514
NYKAA,18,208.39,28510.745536000002,71.32,26.54,18.11,59596.04,52.16,24,11,30,65.51713046883341
GMDCLTD,18,411.6,3402.282,86.76,27.12,4.75,13085.7,74,13,10,43,65.98182562256
GODREJIND,18,1246.2,12731.705844,76.83,6.51,45.6,41935.79,69.64,21,30,15,65.80798780241463
GRASIM,18,2844.5,109978.50779799999,91.46,16.48,6.52,193317.82,43.11,8,17,42,66.97253927919331
PGIL,18,1497.4,2570.293875,78.21,0.26,102.3,6911.25,62.81,20,40,5,64.55025280179044
PSPPROJECT,18,759.9,1199.3874,92.8,13.81,10.82,3009,60.14,7,19,38,64.2128262417942
RADICO,18,2617.2,20909.404847,85.13,1.36,46.5,34983.11,40.23,14,38,14,65.92026404904017
RPGLIFE,18,2480.8,1108.430555,65.48,12.94,51.06,4097.71,72.95,31,21,13,64.31663954730398
SAMHI,18,222.39,4921.89,93.06,8.5,16.42,4921.89,0,7,27,32,66.4618053986317
STYRENIX,18,3219.2,3034.6606079999997,78.45,5.6,49.66,5644.83,46.24,19,31,13,63.890568823965005
SUNDARMFIN,18,5173.5,36048.545954,79.9,26.56,10.26,57420.43,37.22,17,10,38,66.35508901639093
SURYAROSNI,18,347.2,2835.064989,85.13,20.06,11.18,7554.13,62.47,14,15,37,65.04275465581779
AAVAS,19,2092.5,12144.347154000001,77.03,24.71,12.92,16516.18,26.47,21,12,35,67.96911148148433
ASTRAMICRO,19,1037.8,9203.70715,74.15,33.42,9.33,9847.75,6.54,22,7,39,68.58453400616182
CIGNITITEC,19,1807.5,2223.0416480000004,81.72,3.65,32.88,4957.72,55.16,16,34,20,69.92726659323174
DCBBANK,19,145.2,3894.3544399999996,88.69,20.3,5.22,4565.48,14.7,11,14,43,67.86855844622329
FEDERALBNK,19,213.12,52350.26,91.25,6.29,20.24,52350.26,0,9,30,29,67.46819484597964
INDUSTOWER,19,421.1,56714.38,73.25,22.43,12.2,113428.76,50,23,13,36,71.80236915020089
INTELLECT,19,1148.9,11203.95659,84.84,18.83,7.56,15985.1,29.91,14,15,40,69.84397598570396
MASFIN,19,308.05,1860.4909580000003,93.42,13.46,4.71,5575.34,66.63,7,20,43,70.58830012767054
PAGEIND,19,49410,31438.638096999995,90.4,3.39,26.37,55049.27,42.89,9,34,24,67.09483559044563
SMLISUZU,19,2110.3,1710.4809,85.08,43.34,0.56,3052.25,43.96,14,5,48,67.37663748208641
STLTECH,19,105.24,2864.4635680000006,79.15,25.41,6.08,5129.77,44.16,19,11,42,71.78673442673139
VADILALIND,19,5541.5,1406.0103339999998,53.42,37.75,30.56,3986.42,64.73,42,6,21,69.33761222055001
CDSL,20,1794,31870.41,79.22,-0.81,50.3,37494.6,15,19,42,13,73.88378576785415
ECLERX,20,3501.2,7934.957005,78.66,0.98,44.73,17178.95,53.81,19,39,15,73.23080678994884
FSL,20,374.65,12281.332644,77.55,-2.42,78.44,26502.66,53.66,21,46,7,73.95805422193266
IIFLCAPS,20,348.75,7489.548989999999,64.07,3.46,65.32,10807.43,30.7,33,34,10,76.20182842003425
KPRMILL,20,1141,11443.607727999997,60.24,15.36,29.34,39030.04,70.68,35,18,22,75.22995313236616
KINGFA,20,3450.1,1040.1108780000002,73.5,0.87,62.91,4158.78,74.99,23,39,10,71.81774328541314
KRN,20,849.2,1542.2733949999997,73.31,10.33,NA,5279.95,70.79,23,25,25,72.28534569123129
MRF,20,142360,43539.589168,89.19,10.04,9.97,60287.44,27.78,10,25,39,73.62204757051566
PGHL,20,5880.5,4702.021104,77.52,12.66,16.44,9759.28,51.82,21,21,32,74.07375163318085
RAYMOND,20,709.4,2415.5090250000003,71.11,20.59,13.12,4724.25,48.87,25,14,35,73.87298330929163
RBLBANK,20,248.48,15121.94,82.41,57.47,-5.51,15121.94,0,16,3,57,75.87425525342212
SEQUENT,20,192.75,2285.790304,62.93,4.39,64.84,4823.36,52.61,33,33,10,75.86581633492884
TCPLPACK,20,3715.6,1498.497542,52.33,15.92,48.13,3385.67,55.74,43,17,14,74.70344022100993
BALRAMCHIN,21,593.85,6845.813631000001,63.84,8.91,38.2,11982.87,42.87,33,26,18,76.67830238033736
