symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
GRINFRA,77,1279.8,3136.3473899999995,39.5,-21.77,-17.81,12396.63,74.7,57,83,81,220.18075833297007
HINDCOPPER,77,247.51,8108.20025,32.82,-10.32,-30.16,23946.25,66.14,67,61,92,220.67550168959312
JCHAC,77,1676.1,1174.8308749999999,7.39,-10.43,-2.5,4562.45,74.25,98,61,60,220.05901984987588
LTTS,77,4367.6,12180.482586000004,23.9,-17.36,-4,46243.29,73.66,83,75,62,220.4868756998269
NFL,77,98.3,1220.1919200000004,27.63,-19.53,-4.93,4824.8,74.71,76,80,65,220.40581036737618
RATNAMANI,77,2839,7994.501577,30.54,-17.3,-12.05,19871.99,59.77,71,75,73,219.61334031233633
SOBHA,77,1433,7225.6164,32.43,-14.14,-21.16,15334.5,52.88,68,68,85,221.2824198523739
TRITURBINE,77,581.25,8162.004479999999,29.34,-24.28,-2.16,18482.8,55.84,74,87,60,220.76059193701823
5PAISA,78,410.95,862.10465,33.67,-16.41,-19.96,1281.94,32.75,66,73,83,222.20499285460053
DIVGIITTS,78,557,674.7883050000002,38.78,-19.19,-21.17,1710.49,60.55,58,79,85,221.96145438098557
ECOSMOBLTY,78,285.46,553.2423,28.1,-16.43,NA,1715.48,67.75,75,73,73,221.86172409220922
INFIBEAM,78,21.65,4384.870016,41.41,-19.87,-24.41,6036.44,27.36,53,80,88,221.56224952742429
JAMNAAUTO,78,92.29,1844.300508,29.3,-10.37,-23.63,3684.18,49.94,74,61,87,222.2996596991612
JUSTDIAL,78,888.45,1953.5025949999995,27.12,-19.66,-4.87,7557.07,74.15,77,80,65,221.63536220438118
LUXIND,78,1479.2,1148.64824,23.43,-23.02,4,4450.4,74.19,84,85,53,221.379393589381
RAJRATAN,78,411.05,727.420134,38.98,-17.33,-24.49,2086.69,65.14,58,75,88,221.28469890270122
STLTECH,78,71.94,1960.6484960000003,32.68,-15.82,-19.98,3511.19,44.16,68,72,83,222.7494331200618
TNPL,78,162.98,730.1595840000002,25.78,-4.79,-33.76,1128.88,35.32,80,47,95,221.42749803818936
VENKEYS,78,1617.5,998.642337,9.21,-7.76,-9.42,2275.33,56.11,97,55,70,222.4712666931743
AETHER,79,745.15,1800.8760720000002,5.93,-9.42,-7.17,9878.64,81.77,99,59,67,224.94329475167785
ATULAUTO,79,484,769.0673760000001,17.59,-14.62,-4.86,1342.88,42.73,91,69,64,224.973311649677
BALKRISIND,79,2472.2,19935.194396000003,26.12,-11.08,-20.03,47794.76,58.29,79,63,83,225.39747869180422
INDOTECH,79,1951.5,518.355,20.35,-26.36,9.24,2073.42,75,88,90,47,225.39472960099496
KIRLOSENG,79,904.65,7735.267540000001,39.8,-19.35,-25.1,13144.04,41.15,56,79,89,223.79058698151806
MASTEK,79,2327.8,4605.978841,29.82,-26.62,-3.34,7193.47,35.97,72,90,61,223.32630035558674
PGHH,79,13584,12957.210984,26.2,-14.52,-14.04,44132.19,70.64,79,69,76,224.78232526692162
PRSMJOHNSN,79,144.7,1833.5652159999995,27.98,-23.22,-5.02,7296.32,74.87,76,85,65,225.8019216852307
ROSSARI,79,663.75,1177.1745359999998,23.65,-18.8,-4.14,3699.48,68.18,83,78,62,223.6864250644583
SOLARA,79,480.75,1313.8039939999999,21.96,-43.47,15.43,2116.99,37.94,86,99,40,225.2482007133902
TCS,79,3463.4,353837.899893,26.52,-18.91,-7.3,1253410.91,71.77,79,78,67,224.03336862262654
UNICHEMLAB,79,598.2,1254.961958,21.66,-28.78,10.26,4214.11,70.22,87,92,46,224.96832536270648
CERA,80,6362,3769.2170760000004,20.22,-14.18,-9.66,8267.64,54.41,88,68,71,227.15747148560865
DCMSRIND,80,165.98,716.0661809999999,23.78,-9.59,-20.85,1435.29,50.11,83,59,85,227.1838687261453
IRCTC,80,756,22740.48,23.37,-7.35,-26.27,60480,62.4,84,54,90,227.47558971568697
JISLJALEQS,80,57.12,2855.645364,26.42,-20.92,-5.74,3894.77,26.68,79,82,66,226.5790389042745
JINDRILL,80,645.05,668.4964,26.59,-24.46,-3.8,1869.92,64.25,78,87,62,227.56554323522946
LINCOLN,80,542.05,544.942242,9.15,-14.14,-3.79,1085.11,49.78,97,68,62,226.6702231182727
MCLOUD,80,76.89,1874.9529300000002,34.16,-12.49,-37.59,4496.29,58.3,65,65,97,227.48585053744966
PNCINFRA,80,291.95,3290.2076380000003,17.51,-1.38,-43.16,7489.66,56.07,91,38,98,227.70742904002506
SCI,80,201.52,3410.0375,25.66,-14.2,-16.61,9407,63.75,80,68,79,227.84877438015513
STOVEKRAFT,80,545.9,792.6234239999999,18.98,-33.64,13.07,1794.89,55.84,89,95,43,227.7504083552165
TCIEXP,80,761.3,890.1721779999998,25.77,-9.23,-24.82,2922.43,69.54,80,58,88,226.8668558099993
TIINDIA,80,3062.1,33110.324649999995,27.46,-14.72,-17.24,59231.35,44.1,76,70,80,226.20786960888768
BLUESTARCO,81,1532.3,20002.445912000003,4.65,-17.31,2.13,31485.04,36.47,99,75,55,229.46068804444022
EMBDL,81,111.43,7884.526360000001,29.54,-18.63,-15.68,13528.7,41.72,73,78,78,228.84149587451094
HAVELLS,81,1527,38860.935003000006,22.38,-11.12,-17.93,95740.17,59.41,85,63,81,229.1175473921918
HERITGFOOD,81,404.9,2205.26508,14.05,-17.2,-0.54,3756.84,41.3,95,75,59,228.23879806746245
