symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
ASAHIINDIA,24,828.85,10229.447559,50.71,-19.3,2.3,30.71,21122.13,51.57,30,26,21,76.97916388109016
AZAD,24,1610.8,4589.531136,62.6,-0.98,2.12,23.32,10392.96,55.84,22,26,26,74.11228934610472
BANCOINDIA,24,581.9,2672.769440000001,48.17,-22.18,-4.4,70,8321.2,67.88,32,36,8,75.74952541324778
CARYSIL,24,864.4,1442.6953,64.34,-7.77,-9.9,64.01,2459,41.33,21,44,10,74.73449407656737
ENGINERSIN,24,204.87,5608.3011,52.57,1.07,1.82,29.16,11520.75,51.32,29,27,22,77.88224462028242
FORTIS,24,892.55,46382.781834999994,63.62,0.45,-5.83,37.6,67387.45,31.17,22,37,18,77.25565441324213
INDUSINDBK,24,917.85,60507.804336,84.17,5.49,21.24,-5.54,71556.06,15.44,7,10,58,74.61526319464397
INOXINDIA,24,1180.6,2680.96,72.79,3.76,1.6,14.92,10723.84,75,15,27,34,76.54005378103585
POONAWALLA,24,423.5,12424.747859999998,49.83,-10.02,-1.88,47.95,34465.32,63.95,31,31,14,76.43299308826087
PGINVIT,24,91.3,7068.2345,69.41,-3.56,-0.43,20.54,8315.57,15,18,29,28,75.18208505901681
TATACONSUM,24,1116.7,73060.44168799999,64.17,-3.97,4.13,16.55,110429.93,33.84,22,23,32,77.06200219045388
DIVISLAB,25,6329,80861.555364,64.95,-2.23,5.33,13.65,168041.47,51.88,21,22,35,78.00600552251821
ESABINDIA,25,5383.5,2159.527464,54.62,-6.28,5.07,16.89,8217.38,73.72,27,22,31,80.78806041735426
FUSION,25,178.11,1296.3565439999998,61.65,4.57,1.79,18.21,2875.68,54.92,23,27,30,79.45327474046339
IFCI,25,54.59,4034.475718000001,48.73,10.55,4.12,25.21,14708.26,72.57,31,23,25,79.4349747170134
INDIGRID,25,164.53,18531.503955999997,67.65,-2.63,-0.52,17.44,18762.28,1.23,19,29,31,79.19305963618443
NESTLEIND,25,1252.4,89913.812632,66.97,0.44,3.63,13.79,241444.18,62.76,20,24,35,78.62612862654251
NITINSPIN,25,373.2,907.5532049999998,59.19,16.64,13.11,8.35,2096.45,56.71,24,15,41,80.83545797956802
NLCINDIA,25,255.25,9804.74308,58.91,6.62,11.69,11.12,35268.86,72.2,25,16,38,79.33184030405334
POWERGRID,25,299.15,135385.530696,68.26,10.88,4.84,12.19,278227.56,51.34,19,22,37,78.45627302228702
RML,25,834.25,678.996945,54.06,11.11,-0.89,31.47,2297.79,70.45,28,30,21,77.90595667581391
SONACOMS,25,514.95,23024.660084000003,75.21,4.48,16.74,-1.33,31987.58,28.02,13,13,52,78.3679037026656
VINCOFE,25,135.13,1276.88672,53.83,-20.21,-7.43,49.46,1953.92,34.65,28,39,13,81.10603303479368
CGPOWER,26,715.45,49165.343316,70.61,8.18,-2.83,13.91,112661.19,56.36,17,32,35,84.06348437705007
CHOLAFIN,26,1626.3,69566.437596,56.57,-6.02,9.08,11.5,138358.07,49.72,26,18,38,82.90480901663679
GOODLUCK,26,1080.7,1557.2260599999997,64.23,-5.33,-12.1,57.16,3575.72,56.45,22,48,12,81.43310404119572
INDIACEM,26,382,2961.0225,54.6,-8.22,-3.34,29.45,11844.09,75,27,33,22,82.4444155891108
JSL,26,752.25,24037.721791000004,65.99,-0.42,-0.46,15.39,62000.83,61.23,20,29,34,82.89161227198457
LINDEINDIA,26,6784.5,14537.8125,59.31,14.8,5.59,11.54,58151.25,75,24,21,38,83.50089164603165
PGIL,26,1509.9,2695.6262159999997,56.77,-5.38,25.42,2.88,6954.66,61.24,26,9,47,82.40219603578902
RPEL,26,684.95,1168.4722330000002,38.17,-31.29,3.69,31.12,3150.37,62.91,39,24,21,83.17551583281792
RELIANCE,26,1404.8,950056.9955910001,58.35,-8.81,2.17,16.14,1900494.09,50.01,25,26,33,84.16154304335228
SAMMAANCAP,26,142.4,11813.23,46.98,-3.99,3.35,23.07,11813.23,0,33,24,26,82.90554255150829
SURYODAY,26,129.25,1069.7756269999998,54.91,-5.46,5.66,15,1379.11,22.43,27,21,34,82.27593954172497
VOLTAS,26,1478.4,34123.412350000006,74.63,11.41,3.18,5.13,48957.55,30.3,13,24,44,81.55392195432903
AVALON,27,930.3,3449.757815,42.07,7.87,0.8,29.79,6207.95,44.43,36,28,22,85.72661540510634
CSBBANK,27,374.3,3875.982,34.23,-3.21,4.57,33.37,6459.97,40,43,23,20,84.88463831736908
DIACABS,27,135.33,1141.5249080000003,50.01,-6.23,-6.16,44.37,7143.46,84.02,31,38,16,84.21360238683393
HINDPETRO,27,404.95,38879.52838,45.22,-10.08,5.57,19.4,86207.38,54.9,34,22,29,84.76342413807865
IZMO,27,677.35,657.864885,37.32,-21.73,-9.67,146.49,1009.15,34.81,40,43,3,85.64983809969436
KERNEX,27,1037,1238.19228,51.14,2.93,-4.29,32.79,1741.48,28.9,30,35,20,85.1146280484371
