symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
WEBELSOLAR,86,79.62,2426.374832,26.69,-6.84,-37.67,-36.97,3452.44,29.72,59,96,95,250.60937804211284
ZENSARTECH,86,549.7,6374.117128,10.08,-22.95,-27.32,-13.22,12500.72,49.01,95,85,71,250.75250903465843
63MOONS,87,568.7,1424.7604129999997,15.52,-16.19,-29.27,-19.9,2620.49,45.63,86,87,79,252.34695088612995
ARE&M,87,738.65,9076.770738,16.12,-15.5,-25.89,-24.28,13519.17,32.86,85,82,85,252.56104228620197
BOROLTD,87,245.86,1042.5318459999999,17.48,-11.51,-27.14,-24.73,2946.67,64.62,82,85,86,252.3711984424382
CYIENTDLM,87,317.2,1205.158752,18.93,-20.67,-27.95,-28.77,2517.04,52.12,78,86,90,254.19383576257852
FIVESTAR,87,420.7,10130.964976,16.13,-18.82,-20.4,-41.36,12439.79,18.56,85,71,96,252.29625545079944
KEC,87,563.95,7491.16265,14.1,-19.35,-34,-14.56,15012.35,50.1,89,92,72,253.1194841910147
LEMONTREE,87,112.3,6899.577455999999,15.65,-25.87,-31.11,-19.64,8877.48,22.28,86,90,78,254.02874554934726
LODHA,87,820.7,23045.65339500001,19.23,-23.61,-29.97,-26.89,81867.33,71.85,78,88,88,253.7355085412527
MOBIKWIK,87,189.55,1119.111226,20.87,-19.03,-30.56,-29.1,1494.34,25.11,73,89,90,252.7630759178013
PRABHA,87,160.01,590.145458,12.93,-2.39,-23.11,-25.68,2354.93,74.94,92,76,87,254.184638413634
TIRUMALCHM,87,191.68,1453.4726689999998,19.72,-10.58,-30.7,-26.71,2311.87,37.13,76,89,87,252.88160730240435
WENDT,87,6851.5,853.95,14.11,-6.53,-21.86,-29.4,1366.32,37.5,89,73,91,252.66848404432653
AEGISVOPAK,88,188.12,2722.6731289999984,20.92,-18.34,-33.12,NA,20831.47,86.93,73,92,92,256.3859952793076
ALKYLAMINE,88,1382,1976.950367,13.75,-15.87,-28.33,-20.6,7068.11,72.03,90,86,80,256.1531351264852
BOMDYEING,88,107.92,1034.8875560000001,15.2,-13,-37.41,-14.96,2228.92,53.57,87,96,73,255.05785848591125
GARFIBRES,88,612.3,2834.80252,8.41,-3.57,-20.68,-27.45,6078.05,53.36,98,71,88,256.95130219098803
IRCTC,88,537.9,16186.00288,13.84,-14.65,-24.89,-26.39,43047.88,62.4,90,80,87,256.6752277000627
LAOPALA,88,172.97,655.861752,8.7,-13.7,-24.92,-19.66,1919.97,65.84,97,80,78,255.67566509754766
MEDIASSIST,88,350.25,2492.403394,18.99,-21.13,-36.35,-23.17,2613.13,4.62,78,95,84,256.9923602128312
NETWORK18,88,33.65,2236.904613,16.53,-17.77,-34.86,-19.48,5188.83,56.89,84,93,78,255.69317966635106
PCBL,88,268.87,4931.943786,19.61,-4.13,-29.03,-35.15,10579.03,53.38,76,87,94,257.06149435250506
RTNINDIA,88,32.56,1131.5739500000004,18,-15.54,-35.83,-20.29,4499.3,74.85,81,94,80,255.06296323460776
RAYMONDREL,88,435.95,1478.7309779999998,12.31,-8.25,-25.52,NA,2900.61,49.02,93,81,81,255.409756097561
SWANCORP,88,317.85,4581.4081719999995,9.93,-24.54,-26.06,-19.93,9950.93,53.96,95,82,79,256.71650575417726
ZEEL,88,79.89,7360.998822,14.21,-10.37,-27.32,-23.07,7666.11,3.98,89,85,83,256.8063889370441
ABFRL,89,61.96,4034.826453,16.07,-15.49,-25.75,-31.15,7557.27,46.61,86,82,92,259.01001213511313
BHARATRAS,89,1586.8,659.621243,21.05,-27.54,-33.09,-33.76,2637.43,74.99,73,92,93,257.31120897731665
CELLO,89,421.1,2320.705,13.24,-16.39,-30.39,-19.6,9282.82,75,91,89,78,257.9606342263532
HIMATSEIDE,89,88.74,697.623168,17.36,-13.97,-24.89,-37.4,1115.84,37.48,82,80,95,257.65936604035255
NPST,89,1225.2,1014.8273629999999,23.99,-7.39,-35.73,-45.46,2554.31,60.27,66,94,98,257.4165164224086
POLYMED,89,1453.1,5534.98909,15.44,-12.82,-24.34,-32.15,14728.55,62.42,86,79,92,257.22695862059766
QUESS,89,190.64,1228.83376,11.54,-10.43,-20,-35.55,2849.8,56.88,94,69,94,257.2299510594887
RAYMOND,89,397.25,1352.204432,16.65,-1.48,-32.12,-23.39,2644.64,48.87,84,91,84,258.2610222832682
RELAXO,89,294.86,2108.83946,19.79,-24.99,-33.17,-29.4,7340.2,71.27,76,92,91,258.3285941938151
SBICARD,89,671.05,20062.433506,13.55,-21.78,-27.78,-21.24,63852.43,68.58,90,85,81,257.309536732054
SERVOTECH,89,81.36,760.532972,21.49,15.08,-34.35,-34.21,1837.48,58.61,72,93,93,257.4348671138434
VIKRAN,89,65.43,739.416483,21.29,-31.39,-34.6,NA,1687.01,56.17,72,93,93,258.74870180959874
AFCONS,90,306.4,5612.711675999999,19.01,-15.11,-32.95,-28.44,11263.72,50.17,78,91,90,259.34261291656105
ARKADE,90,115.32,617.96475,18.75,-9.87,-32.94,-28.35,2141.25,71.14,79,91,90,259.6335615890331
DCXINDIA,90,175.13,932.7364800000001,10.37,-2.45,-25.27,-23.65,1949.7,52.16,95,81,84,259.6853131792663
IFBIND,90,1058.1,1073.5699680000002,15.32,-24.15,-39.07,-17.97,4287.42,74.96,86,97,76,259.24269626211844
ITCHOTELS,90,154.49,19348.721175,13.83,-19.72,-28.98,-22.8,32167.45,39.85,90,87,83,259.4903865900332
JSWHL,90,13417,5020.386476999999,13.12,-27.24,-20.71,-42.67,14892.87,66.29,91,71,97,259.3581031884676
PPLPHARMA,90,146.47,12672.0099,14.74,-13,-24.3,-33.37,19453.5,34.86,88,79,93,259.22912027097306
SWSOLAR,90,178.53,2263.812536,15.2,-11.89,-26.68,-28.83,4170.62,45.72,87,83,90,260.1169944925256
THOMASCOOK,90,103.61,1762.126443,17.07,-25.18,-36.75,-21.1,4871.79,63.83,83,95,81,259.38694941924814
TTKPRESTIG,90,471.85,1905.2069080000003,13.97,-20.64,-26.67,-27.05,6462.71,70.52,89,83,88,260.527486698049
UNIECOM,90,91.66,658.0342999999999,16.99,-20.27,-31.14,-26.32,1028.5,36.02,83,90,87,259.86276920615023
VIKRAMSOLR,90,218.56,2931.0754779999993,22.97,-4.7,-37.26,NA,7926.11,63.02,68,95,95,259.0498819826908
FIRSTCRY,91,245.51,12819.81,16.6,-8.77,-32.59,-24.92,12819.81,0,84,91,86,260.92952966435075
EPACK,91,237.78,1207.977554,18.54,-12.63,-29.36,-36.5,2286.97,47.18,79,88,95,261.594159143341
GODFRYPHLP,91,2043.3,8739.23385,9.99,-8.25,-38.39,-12.89,31871.75,72.58,95,96,70,261.83335622557973
NAUKRI,91,994.65,40251.423115,10.36,-23.83,-26.24,-24.02,64495.15,37.59,95,83,85,262.4499966661777
JKIL,91,469.7,1896.419736,13.23,-14.86,-24,-32.26,3554.01,46.64,91,78,92,260.85232034031657
LATENTVIEW,91,289.05,2086.3673700000004,15.23,-34.22,-32.69,-23.91,5978.13,65.1,87,91,85,262.2440684633746
MASTEK,91,1571,3127.795464,15.97,-23.15,-27.67,-28.47,4869.68,35.77,86,85,90,261.0232854151942
PATANJALI,91,460.1,15890.208857999996,4.32,-15.35,-22,-26.83,50063.67,68.26,100,74,88,260.96739721825867
PCJEWELLER,91,9.15,4515.04429,13.93,-11.08,-24.88,-32.72,7665.61,41.1,89,80,92,261.49428649535264
RAJESHEXPO,91,115.24,1546.47261,22.11,-30.19,-36.22,-38.58,3402.58,54.55,70,95,95,260.95839789835844
SHK,91,138.44,866.7442149999999,16.32,-17.35,-36.65,-21.69,1920.55,54.87,85,95,82,262.26653375828454
TEXRAIL,91,96.18,2021.569452,16.34,-22.79,-29.69,-28.38,3913.22,48.34,85,88,90,262.2567203189801
WESTLIFE,91,458.3,3122.101608,14.24,-10.27,-24.53,-35.31,7154.22,56.36,88,79,94,261.5011515022203
AURIONPRO,92,875.2,3536.4488,16.44,-13.67,-25.66,-43.78,4836.5,26.88,84,82,97,263.1494792569577
DCW,92,46.49,750.856896,17.58,-12.22,-28.67,-38.51,1372.18,45.28,82,86,95,263.4786695381989
GSPL,92,237.07,8342.461512,8.22,-22.41,-24.97,-24.56,13375.76,37.63,98,80,85,263.58512115110216
GULFOILLUB,92,891.3,1448.3933749999999,5.73,-21.35,-26.85,-21.23,4403.75,67.11,99,84,81,264.4981010548214
JUSTDIAL,92,571.45,1256.2789799999998,15.97,-22.06,-29.1,-31.6,4859.88,74.15,86,87,92,264.6431903345824
RUSTOMJEE,92,401.2,1287.560274,12.54,-18.99,-28.93,-23.48,5067.14,74.59,92,87,84,262.583028177466
LXCHEM,92,129.71,1103.3080500000003,16.67,-14.32,-35.84,-24.09,3599.7,69.35,84,94,85,263.388918374695
PANACEABIO,92,330.1,556.424128,13.02,-16.32,-26.78,-26.94,2021.89,72.48,91,84,88,263.1793596394138
ROSSARI,92,444.45,783.1430080000001,18.13,-18.4,-32.72,-34.47,2459.62,68.16,81,91,93,264.71674712291133
SEPC,92,7.09,976.2264249999998,22.02,-21.66,-37.37,-47.21,1340.05,27.15,71,96,98,264.3683480243769
TCPLPACK,92,2520.2,1008.322468,14.17,-11,-25.28,-35.2,2278.18,55.74,89,81,94,263.1793816426409
UFLEX,92,379.25,1517.942716,13.85,-19.9,-30.33,-24.91,2738.98,44.58,90,89,86,264.1222639320434
AJMERA,93,120.31,752.202405,18.06,-34.99,-42.32,-26.98,2367.65,68.23,81,98,88,266.84107069036793
BAJAJELEC,93,380.05,1636.200202,13.14,-12.74,-30.02,-25.47,4385.42,62.69,91,88,87,266.10121217778607
BFUTILITIE,93,476.15,776.0883040000001,20.26,-19.7,-39.86,-36.5,1793.18,56.72,75,97,95,266.25985544546535
BCG,93,9.65,1589.3780980000001,13.58,-1.73,-29.46,NA,1947.29,18.38,90,88,88,265.9562549173879
DHANUKA,93,1007.45,1375.5961180000004,10.86,-7.38,-28.18,-23.85,4541.42,69.71,94,86,85,265.03436370667697
DCAL,93,159.22,1014.664968,15.88,-39.54,-45.08,-21.93,2494.26,59.32,86,98,82,266.75373988184936
EFCIL,93,193.01,1048.2252760000001,8.35,-31.26,-35.35,-16.32,2649.71,60.44,98,94,74,265.5479410313513
GRINFRA,93,845.85,2071.863945,9.23,-10,-31.16,-21.18,8185.95,74.69,96,90,81,267.0902572377282
HEXT,93,473.35,7433.067080000001,14.63,-33.59,-34.34,-25.08,28922.44,74.3,88,93,86,266.75402592380215
INDIQUBE,93,150.69,1278.727992,17.6,-25.96,-33.64,NA,3200.02,60.04,82,92,92,265.681038552321
PGHH,93,9794.5,9334.621512,14.66,-20.6,-30.46,-28.44,31793.67,70.64,88,89,90,266.50343116990496
PNCINFRA,93,186.52,2099.423486,16.43,-21.1,-34.32,-28.32,4779.02,56.07,84,92,89,266.2846750856793
SONATSOFTW,93,242.16,4877.2139019999995,13.62,-31.12,-34.61,-23.26,6789.94,28.17,90,93,84,267.0671318460041
BATAINDIA,94,733.45,4698.34204,18.46,-19.02,-36.09,-40.94,9426.85,50.16,80,95,96,270.49541066023016
GUJGASLTD,94,314.3,8460.572435999999,6.18,-23.09,-26.23,-26.62,21632.76,60.89,99,83,87,268.93681206576963
HIKAL,94,182.74,701.8718000000001,11.84,-13.77,-23.95,-56.37,2253.2,68.85,94,77,99,270.48302284335034
JYOTICNC,94,698.95,5954.544204000001,1.89,-25.33,-23.05,-30.89,15895.74,62.54,100,76,91,267.29862779874384
KIRIINDUS,94,400.85,1522.686354,15.06,-24.88,-30.84,-35.6,2612.26,41.71,87,89,94,270.8929209617411
