symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
SCHAEFFLER,13,4346.7,17567.972929000003,96.08,11.47,12.39,39.58,67908.67,74.13,5,22,20,47.48479411494276
VIYASH,13,225.49,3797.915889,76.68,0.91,33.13,43.2,9841.71,61.41,19,10,19,47.0512129743983
AEROFLEX,14,229.32,1046.607753,93.7,22.85,34.56,20.83,3031.01,65.47,7,9,33,48.705634113879725
ASTRAL,14,1684.2,20716.722684,97.9,16.89,23.86,21.21,45252.78,54.22,3,13,32,49.188244456412065
FUSION,14,204.09,1484.317604,91.22,21.27,19.69,32.29,3292.63,54.92,9,16,25,49.07350316023688
GMRAIRPORT,14,102.26,36463.423152,80.99,-5.62,18.81,46.57,108007.77,66.24,15,16,17,48.89254272070262
J&KBANK,14,121.23,5418.02128,97.47,13.32,22.55,24.02,13344.88,59.4,4,14,30,47.869457611037475
LUPIN,14,2323.2,56386.19657,98.46,11.57,22.6,22.33,106168.7,46.89,3,14,32,48.53429517599179
MANGLMCEM,14,913.3,1505.82,90.99,29.33,29.6,25.44,2509.7,40,9,11,29,48.59698244801592
SIGMAADV,14,158.69,805.6327840000001,59.28,-23.61,18.96,153.58,2799.28,71.22,31,16,2,49.0418433325279
STYLAMIND,14,2217.2,1795.595389,78.48,7.13,31.58,36.74,3755.69,52.19,17,10,22,49.254893701122946
TVSINVIT,14,115,1476.7913600000002,100,4.55,11.11,NA,2267.8,34.88,1,23,23,48.04160130887662
TVSSRICHAK,14,4061.2,1689.50106,69.19,-13.56,43.07,45.81,3111.42,45.7,25,7,18,48.88812107719616
IDEA,14,10.85,87494.10246000001,70.81,8.94,67.18,37.17,117552.2,25.57,24,3,21,47.87740507757862
3MINDIA,15,36455,10274.89,85.34,4.64,18.51,37.63,41099.56,75,12,16,21,49.397314035386216
ABSLAMC,15,912.85,6640.449456000001,94.24,24.14,9.31,42.57,26371.92,74.82,7,26,19,51.158154009885614
BANDHANBNK,15,186.1,18073.96258,89.08,23.77,15.02,37.51,29993.3,39.74,10,20,21,50.89703511099394
GMBREW,15,1007.3,588.2250649999999,57.12,-1.29,49.11,53.62,2300.45,74.43,32,5,15,52.175494578370845
GLENMARK,15,2124.3,31992.954675,84,9.15,10.42,61.38,59968.05,46.65,13,24,13,49.711198641759495
GNA,15,421.65,568.557468,75.58,33.39,40.74,33.65,1809.54,68.58,20,7,24,50.912442483871956
HINDZINC,15,609.8,98386.607664,65.28,25.68,45.45,49.74,257826.54,61.84,27,6,16,49.32636075300727
LT,15,4286.5,589491.32,89.59,5.33,19.04,32.88,589491.32,0,10,16,24,49.840369166254035
MUTHOOTFIN,15,3435.9,36764.303940000005,67.34,-8.23,30.26,57.38,137952.36,73.35,26,11,14,50.294432539611016
ONGC,15,280.1,144886.908254,98.75,15.15,19.85,20.21,352437.14,58.89,3,15,33,51.72084485590536
SANGAMIND,15,468.2,696.1908950000002,75.8,4.87,25.84,42.31,2348.03,70.35,20,12,19,51.29488524572136
SUNDARMFIN,15,5493.5,38263.06023,95.46,16.18,22.25,22.63,60947.85,37.22,5,14,31,50.63871220690564
VSTTILLERS,15,5798,2220.711847,83.54,3.51,9.63,67.57,5002.73,55.61,13,25,11,49.405993346258775
