symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
VIDHIING,78,347.95,629.1945810000001,25.31,-1.82,-17.13,-34.16,1760.97,64.27,69,74,87,229.3160874443853
ABLBL,79,127.58,8323.746360000001,20.72,-4.72,-20,NA,15587.54,46.6,74,79,79,231.69193997524752
ALKYLAMINE,79,1596.1,2284.539254,9.36,-15.97,-30.46,-9.42,8167.82,72.03,88,93,51,231.70822814184106
BHARATRAS,79,2231,925.6025930000002,3.78,-10.72,-21.62,-11.17,3700.93,74.99,96,82,53,231.14505694635918
BOSCH-HCIL,79,1428.7,992.7191499999999,12.55,-17.92,-21.07,-19.72,3855.22,74.25,83,81,66,230.2857034872791
DALMIASUG,79,299.95,611.937573,11.44,-15.03,-23.34,-17.5,2438.97,74.91,85,85,64,232.98152915073945
HATHWAY,79,12.43,549.6175,13.55,-11.4,-22.26,-20.98,2198.47,75,82,83,69,233.0173850889836
MGL,79,1136.1,7582.7880000000005,8.86,-11.03,-26.34,-11.55,11233.76,32.5,89,89,54,231.3166012932385
NITCO,79,99.5,1909.5908579999998,26.29,-12.64,-35.51,-21.39,2279.02,16.21,68,97,69,233.81957002365584
RAMASTEEL,79,9.38,955.13504,14.9,-8.58,-21.7,-22.09,1534.6,37.76,80,82,71,232.5065324797907
RATNAMANI,79,2380.5,6708.026636999999,12.49,-1.4,-16.88,-25.1,16674.19,59.77,83,73,75,231.5182016856749
REDTAPE,79,123.92,1934.6666400000001,7.27,-15.24,-5.69,-43.26,6860.52,71.8,91,46,94,230.81251468699085
SHILCTECH,79,3827,1655.9090480000002,30.8,-14.37,-31.59,-25.28,4371.46,62.12,62,94,75,231.72576998997368
TEXRAIL,79,137.32,2890.53271,24.58,-1.8,-20.06,-29.14,5586.65,48.26,70,79,82,230.46113812429502
BAYERCROP,80,4558,5853.230180999999,14.66,-7.22,-29.17,-17.89,20487.33,71.43,80,92,64,236.35330888112543
CYIENTDLM,80,415.75,1579.838904,19.31,-3.63,-14.23,-37.91,3299.58,52.12,75,67,91,234.0514914149643
DYCL,80,334.1,514.7807779999998,33.63,-16.55,-32.04,-30.7,1617.79,68.18,58,95,83,236.28291207779796
ENTERO,80,1026.6,2125.5318239999997,13.3,-6.43,-16.73,-27.91,4467.28,52.42,82,73,79,234.77473641747088
IGIL,80,335,3399.567605,14.71,-6.76,-12.15,-39.52,14497.09,76.55,80,63,92,235.67667627522246
IRB,80,42.05,17652.383378,7.53,1.4,-15.03,-26.54,25369.91,30.42,90,68,77,235.66861781708235
KALYANKJIL,80,485.35,18642.371495999996,21.74,4.31,-17.13,-36.66,50073.52,62.77,72,74,90,235.72680738109415
KITEX,80,181.64,1568.9513400000003,19.89,-3.54,-35.27,-18.33,3620.1,56.66,75,97,65,236.2771768078707
NOVARTIND,80,779,563.9438119999999,9.59,-11.77,-25.25,-15.31,1923.41,70.68,87,87,60,234.21061203628273
ROSSARI,80,582.15,1026.743493,7.11,-8.49,-15.06,-25.1,3225.71,68.17,91,69,75,234.35592600498182
UBL,80,1621.7,12508.065359999999,6.56,-9.85,-18.03,-20.39,42894.6,70.84,92,76,68,235.04912788648323
ZAGGLE,80,347.8,2611.5627600000003,17.64,2.25,-17.29,-33.02,4680.22,44.2,77,74,86,236.20943599996866
AAVAS,81,1464,5917.90936,3.61,-10.61,-23.35,-12.83,11594.65,48.96,96,85,56,236.74046706589172
BAJAJHCARE,81,415.1,533.7335850000001,6.16,-13.56,-13.26,-27.61,1307.85,59.19,92,66,79,236.97667294617122
BOMDYEING,81,133.29,1278.578554,19.63,-21.83,-20.45,-29.31,2754.37,53.58,75,80,82,236.88454027760372
BRIGADE,81,885,12738.317056,13.89,-1.16,-17.54,-28.8,21634.37,41.12,81,74,81,236.830628740287
KIRLOSIND,81,3176.3,925.9798200000001,23.81,-22.05,-25.23,-28.18,3369.65,72.52,70,87,80,237.09279358315578
LXCHEM,81,169.19,1436.2467400000003,10.27,-19.06,-14.15,-30,4685.96,69.35,86,67,83,236.66313300930568
MOL,81,64.27,834.044348,16.26,-21.84,-36.54,-16.49,1634.74,48.98,78,97,62,237.22774852346785
PIXTRANS,81,1415.2,735.9882240000001,14.4,-1.51,-11.78,-43.57,1927.68,61.82,81,62,95,237.08516486636796
PURVA,81,239.23,1418.155,17.32,-10.92,-15.48,-37.04,5672.62,75,77,70,90,236.8625006853929
RPSGVENT,81,751.75,907.2435720000001,13.45,-9.99,-18.89,-27.1,2486.28,63.51,82,77,78,236.88421716380498
TIIL,81,2251.5,1287.747475,15.01,-0.44,-30.54,-17.55,5099.99,74.75,80,93,64,236.77907270256298
WINDMACHIN,81,269.8,1264.291002,21.92,-10.05,-28.56,-24.27,2349.11,46.18,72,91,74,237.0205001018298
AKUMS,82,453.4,1764.3330999999996,19.54,0.48,-21.62,-28.98,7131.5,75.26,75,82,82,238.416674826106
PARKHOTELS,82,134.05,911.14821,8.76,-8.72,-15.63,-27.28,2859.85,68.14,89,71,78,237.56361239268705
COLPAL,82,2075.7,27665.4882,2.67,-6.71,-15.16,-22.57,56460.18,51,98,69,71,237.65207125736305
HPL,82,407.5,714.6047180000002,22.83,-11.61,-29.5,-25.02,2613.77,72.66,72,92,75,238.3776523726344
KSL,82,771,1185.5151999999998,19.66,0.06,-19.65,-33.88,3358.4,64.7,75,78,86,239.35260948662113
KIRLOSBROS,82,1610.2,4338.749745,17.84,-19.67,-30.98,-22,12742.29,65.95,76,94,70,240.21789208390777
NITINSPIN,82,314.85,764.8327800000001,15.03,-3.24,-19.94,-28.95,1763.1,56.62,80,79,81,239.78811195795208
