symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
BEML,59,1828,6992.400163,51.8,-4.78,-13.57,-14.36,15210.79,54.03,41,75,61,176.51355169341605
CENTRUM,59,29.95,897.520356,38.72,-17.4,-12.27,-6.61,1377.41,34.84,54,72,49,175.99736867004563
FCL,59,25.17,1082.8832,34.92,5.53,5.45,-28.62,2917.25,62.88,58,36,83,175.96905350373487
GSFC,59,184.43,4565.74524,37.26,-6.67,-7.75,-13.76,7345.15,37.84,56,62,60,177.67102644605143
GAEL,59,110.57,1833.34816,25.79,6.98,-5.01,-10.57,5070.1,63.84,68,56,54,177.8548434157676
ITI,59,309.4,2974.0549700000015,21.19,8.89,-10.73,4.64,29800.15,90.02,73,69,35,176.51681368949625
JKLAKSHMI,59,758.85,5172.802208,27.27,-17.62,-10.39,-2.72,9425.66,45.12,66,68,44,177.63555049338112
KDDL,59,2496.5,1524.887211,34.39,4.69,-6.33,-13.5,3076.23,50.43,59,59,59,176.4122685630878
LMW,59,15051,11115.17388,33.35,6.69,-9.86,-6.99,16062.39,30.8,60,67,49,176.1929783784236
PTC,59,157.8,3910.2052939999994,37.96,-9.89,-10.41,-9.14,4667.23,16.22,55,68,52,175.6313305489223
SIS,59,329.25,1296.0845799999997,36.29,-8.54,-7.42,-12.98,4643.8,72.09,56,62,58,176.19026611697444
WAAREERTL,59,1061.4,2831.835994,43.2,3.69,0.58,-28.98,11057.54,74.39,49,44,83,176.83327467187257
APLLTD,60,907.2,5395.131050000001,45.64,-3.18,-10.89,-16.07,17829.25,69.74,47,69,64,179.92904392170695
CAMS,60,3870.3,19172.35,35.95,4.46,-2.29,-20.91,19172.35,0,57,50,72,178.2967369765826
DHANBANK,60,26.89,1059.4,33.61,4.96,-15.12,-0.52,1059.4,0,59,78,41,178.5465333266872
EXIDEIND,60,374.8,17208.844433,32.37,-5.41,-3.11,-18,31862.33,45.99,61,51,67,178.69170898924884
GILLETTE,60,8684.5,7079.05,31.1,-13.97,-7.84,-11.1,28316.2,75,63,62,55,180.09433445107527
INSECTICID,60,724,584.6777500000001,33.97,-12.3,-14.96,-2.69,2110.75,72.3,59,78,44,180.3554003611166
KSL,60,770.5,1184.91863,16.98,-7.24,-3.06,-6.49,3356.71,64.7,79,51,49,178.87701692251122
KPITTECH,60,1222.4,20304.459904,37.18,2.68,-8.63,-13.37,33527.84,39.44,56,64,59,178.9620382563502
PICCADIL,60,607.7,1876.1756819999998,23.16,4.27,4.63,-20.28,5978.89,68.62,71,37,71,178.03139720831143
PVRINOX,60,1067.9,7600.4796719999995,30.5,-4.64,8.39,-29.7,10487.76,27.53,63,31,84,178.25006976283237
SHREECEM,60,26400,35693.32536,20.64,-9.82,-10.8,3.34,95309.28,62.55,74,69,37,179.15031743958812
SDBL,60,116.31,1376.1379279999999,26.7,-15.24,-19.1,12.02,2270.48,39.39,67,86,27,180.048976689885
CAPLIPOINT,61,1910.8,4268.800899000001,33.01,-8.95,-11.23,-9.33,14504.93,70.57,60,70,53,182.81750955627535
CIEINDIA,61,411.6,5359.69056,33.37,7.01,-8.48,-13.61,15625.92,65.7,60,64,59,183.09990423917625
FLUOROCHEM,61,3423.5,14526.801199999998,22.55,0.28,-3.65,-13.35,37634.2,61.4,72,53,59,183.02658475161977
HEXT,61,756.75,11781.945160000003,53.72,-0.13,-11.75,NA,46294.48,74.55,40,72,72,182.75456220329676
HONAUT,61,35395,7831.89,34.21,-8.63,-8.14,-13.56,31327.56,75,59,63,59,181.2477724322291
ITC,61,404.25,506914.14,17.33,-1.34,-3.3,-9.19,506914.14,0,78,52,52,182.22695165341486
MPSLTD,61,2160.5,1168.82388,30.67,0.48,-17.31,2.96,3691.8,68.34,63,82,37,182.09627250402517
PREMIERENE,61,975.7,15917.118390000001,34.81,-1.85,-8.09,-14.22,44140.65,63.94,58,63,60,181.4924092709508
PRUDENT,61,2473.2,4572.435005,59.07,-11.77,-16.24,-18.19,10231.45,55.31,34,80,67,181.6830990186441
RML,61,773.65,632.5886699999999,41.42,-8.42,-14.57,-8.81,2140.74,70.45,51,77,52,180.6062367719102
